R;P;T
2524255,86445818;1819895,83031679;2665164,0656351
2446943,76451895;1804762,99527995;2631401,4612537
2489189,11943769;1713883,1311065;2414761,49218579
2493910,4728746;1795854,19338345;2902872,36677315
2391758,63696816;1833376,09600698;2589685,0061404
2891308,84936345;2073698,87837698;2515411,98257558
3153076,64201512;1895543,22660469;2638006,70295267
2743655,64075114;1947346,76729601;2324009,02540328
2871777,02676802;1767942,98046515;2526346,15217977
2616654,41151815;1898783,20467001;2544714,6699237
2802657,71565143;1991146,50420913;2535479,16878194
2334494,14692642;2012029,08837891;2319526,20281982
2760682,55340391;1868309,4286425;2619115,11414684
2571326,55758783;1908504,87756627;2862650,6051072
2490865,7863515;1845683,59152105;2591522,92751621
2512895,09454064;1658970,77448918;2598823,99911264
2567872,91045149;2218678,32973841;2731714,88261567
2633148,0848732;2115655,25430679;2729109,75461578
2872501,77810478;1883093,83840561;2784586,79805517
2784604,76418701;2132488,95807422;2647949,27198022
2962290,20333594;2157358,66394141;2886588,69909961
2432198,70656364;2062646,67258773;3115701,20954354
2760899,37126371;2228116,72631203;2993268,29004899
2889481,91603266;2218426,80398153;2958746,06567179
3184761,53485107;1895066,94409994;2532113,87623189
2791536,14710897;2023514,93220622;2409902,86065776
2889164,12701416;1762266,10091756;2350421,2224589
2996099,12546481;1829971,21932175;2464010,58937999
2980785,79309538;1942450,33554961;2325608,62114509
3001092,20911261;2046698,22512725;2753272,34149108
2771075,36117324;1972961,645538;2376995,55840343
3630010,212365;2123906,64714499;2988129,95295267
3505925,69672067;1943831,03337424;2756685,43858701
3650402,45265198;2072523,68399963;2742344,24911346
2703387,32994616;2179929,89990069;2658528,63513225
3145046,92491629;2150306,11936384;2813967,50691964
3576312,38050034;2317509,55474494;2440746,97097958
3780665,48098551;2565581,7524821;3159260,01813151
3271820,67295436;2183049,34361294;3054068,73255037
3881975,46656145;2070544,11373465;3123741,70941162
3433020,7715595;2002073,20898438;2890954,06971154
3202192,19744873;2228777,98632813;2936211,90372467
3422535,09691273;2509999,22052557;3492891,44224965
3519308,02909248;2245514,20594113;3222172,31704215
2814419,73101516;2852438,60258557;3207571,77876209
4034630,44346982;2122833,21958705;3147639,23160807
3594731,13037109;1902777,12187976;2822117,86550829
3696143,94721555;2684812,37690305;3143079,33548678
3676903,53585012;2711432,84745066;3339479,69422672
3720198,74259868;2314818,56450452;3475662,39049651
4081898,79341518;2256003,13214286;2758608,353125
4265545,70371094;1885888,75175084;3401065,14598214
4370671,97289299;1807129,71212121;3088817,89251894
3766293,64978027;2192314,38494318;2798893,52438447
4643093,25562263;3100824,7594697;3566561,14796402
5400580,99968558;2673105,27935606;4240641,01515152
4744635,84615072;2796806,02530924;3412201,79817708
3862548,28017578;2802339,68346354;4026511,9781901
4353351,37770433;2672728,61658654;3508813,85366587
3850712,63136409;2329990,17593149;2726517,3268104
3913700,728125;2822861,585;3884961,7609375
4888064,99929687;3112270,1625;3685655,46757813
3985392,19936117;3069033,14322917;3109793,44466146
4369099,52819293;2289694,96331522;3190890,96399457
3426449,2702106;2087733,35665761;2916110,04211957
4211639,34777251;3258393,77232143;4037328,50372024
3215204,77186415;2213508,734375;3567829,91319444
3717068,14655219;2800217,34375;3260425,43923611
2844892,69265408;2123331,96788194;3521367,39800347
2859416,76322115;1563619,66225962;3830538,75841346
4013558,44886364;2273572,75;4362472,72159091
2093178,1421875;1516928,615625;2867265,8625
2433742,09821429;2076989,828125;2358864,08928571
2500275,540625;3080951;4215106,6375
2723531,35546875;2904758,6875;3235903,625
2338662,0390625;3967717,125;4514113,125
2671631,9453125;3936052,0625;5326651,34375
616668,806640625;2187027,8046875;2014891,40625
1917935,03125;3541385,5;3711430,875
4244106,125;3072875,5;2409503,375
1764658,71044922;2441241,28125;2010824,9375
1760418,11328125;2401565,875;1676215,05859375
1303669,98828125;2230332,3125;1517960,65625
656626,40625;2514574,1875;1086133,5
468022,75;2052338,9375;1187696,6875
1380193,09375;4140032,5;2086615,0625
1827726,515625;4401956,125;2552880,8125
1897452,2890625;3841401,375;2533400
1611631,140625;3833315,25;2027492,5625
815096,15234375;1395956,09375;1075962,6875
129269,3671875;156318,375;123546,5390625
1814961,5;2109783;1719127,375
3062435,75;3566276,75;2910222,75
3584148,25;4175093;3396415,25
3236262,25;3752499,5;3077308,5
2118463,75;2485550,5;2018166
499588,90625;573143,875;472319,53125
1239469,125;1440314;1187839
2687309,5;3121616,5;2547744,75
3497008,75;4060303,75;3318720
3461324,5;4018392,75;3282265,5
2608204,5;3018689,25;2464577,75
1119438,375;1305644,625;1059776
632137,3125;728485,25;592133,3125
2225887;2605615,75;2108678,25
3287387,75;3829185;3119643,75
3561552,5;4139316,75;3389966,5
2997453,75;3496207,75;2842692
1703967,25;1962520,125;1619192,375
