R;P;T;RMinus;PMinus;TMinus
13482,8283081055;17469,1339111328;4215,8071975708;-2;0;6
14424,6465454102;15695,862701416;5552,067029953;-4;2;4
20641,7585449219;17941,1010131836;4235,85273742676;-2;2;6
18031,8408508301;14487,4317474365;5023,00397872925;-2;2;4
17780,6170654297;15776,0739593506;4110,54742431641;-4;4;6
12584,409362793;10878,2111816406;4102,49903488159;0;0;4
10397,596282959;13695,6144104004;3637,99380493164;-2;4;4
10683,7367902483;8761,92733328683;4066,31021554129;-1;1;5
10469,4150797526;11522,0077311198;4122,48993937175;-2;4;6
13634,0345052083;3738,38460286458;3432,07265218099;-2;-4;4
8404,09675089518;6128,41287231445;3423,24196370443;2;2;6
9808,81674804687;9108,18198242187;2676,58363647461;-3;-3;5
9236,09357299805;13217,748046875;3312,09555664063;-1;-3;5
14576,1961914063;16678,3853027344;1923,70322265625;-3;-3;5
15494,9520507813;18976,021875;2755,9137714386;-1;-3;3
13763,7969238281;20473,1248046875;1763,36901054382;-3;-3;1
15235,440625;20162,1224609375;2112,61303710938;1;-3;3
8768,53612947464;18149,3919921875;1996,62456665039;-3;-3;-1
12852,6164794922;14634,2744018555;1283,78911743164;1;-1;3
8983,6669921875;9754,02299804688;2042,38707122803;-1;-3;1
14067,319921875;12094,537109375;558,690097045898;1;1;3
8747,04113769531;7274,98559570313;2317,24277877808;0;0;2
17191,1901855469;14740,1477050781;519,371767044067;4;2;0
14150,6996459961;13638,7824707031;2190,29534435272;2;0;0
18189,1340332031;14373,4987792969;1019,80989456177;4;2;-4
21735,3779296875;17322,4862365723;1860,91785049438;2;2;0
14877,2567901611;12093,9931030273;1439,50946474075;0;4;-2
18975,5264053345;16434,9049987793;1574,29720497131;0;2;-2
19316,3748372396;10832,5904947917;1529,40156046549;1;1;-3
16362,1866048177;14831,2892252604;1949,12779744466;-1;1;-1
16422,6392059326;8078,89420572917;1408,24508666992;1;3;-3
18052,8426106771;7661,03356933594;1628,19318135579;1;1;-1
10142,8924153646;6663,45345052083;1247,76034545898;1;3;-3
12029,3112792969;5061,37329101563;2233,44354248047;0;-2;0
15342,37109375;11113,064453125;836,501159667969;2;0;-2
4837,64715576172;4989,23571777344;2202,98364257813;2;0;0
13369,2208251953;16243,3139648438;496,364822387695;0;0;0
3107,77587890625;6080,5908203125;1626,61279296875;0;0;0
8493,08374023438;14235,814453125;737,327514648438;0;0;0
3957,55432128906;4964,84692382813;835,585388183594;-2;0;0
6534,56909179688;7014,6650390625;383,345108032227;0;0;0
4764,5234375;5441,865234375;46,5171508789063;-1;-1;1
4461,1240234375;72,3400115966797;249,35417175293;1;-1;1
3368,01538085938;2080,80151367188;62,5642929077148;-1;-1;1
7042,2822265625;1602,06799316406;13,1416521072388;-1;-1;1
