R;P;T;RMinus;PMinus;TMinus
1882,10302734375;1714,13415527344;2004,64105224609;0;0;0
327,075103759766;413,723175048828;136,022079467773;-1;-1;-1
209,456802368164;449,986633300781;115,363212585449;1;1;1
530,868469238281;692,4052734375;303,47900390625;-1;-1;-1
846,906921386719;509,714874267578;1008,92797851563;-1;-1;-1
1986,42297363281;2079,64819335938;1774,21447753906;-1;-1;-1
1495,64831542969;1188,44104003906;1700,57019042969;-1;-1;-1
579,892150878906;722,760803222656;253,10498046875;-1;-1;-1
353,345489501953;741,509521484375;152,997329711914;1;1;1
1220,84289550781;1506,47973632813;947,819152832031;-1;-1;-1
734,528198242188;368,383850097656;978,318420410156;-1;-1;-1
1015,59735107422;1132,36779785156;720,840087890625;-1;-1;-1
672,033264160156;416,02587890625;907,176574707031;-1;-1;-1
493,452728271484;714,923278808594;313,785949707031;-1;-1;-1
1075,68786621094;1243,03381347656;963,017700195313;1;1;1
606,827087402344;536,299072265625;812,312316894531;1;1;1
683,933715820313;634,005004882813;903,538330078125;-1;-1;-1
579,819641113281;741,546813964844;502,217498779297;-1;-1;-1
1208,05517578125;1357,33569335938;1036,90600585938;1;1;1
1306,45104980469;1035,97875976563;1510,79504394531;1;1;1
1285,2001953125;1376,68139648438;1080,25964355469;1;1;1
243,347198486328;10,1735401153564;378,565216064453;1;1;1
132,039001464844;281,096252441406;127,01741027832;1;1;-1
11,9571647644043;259,337615966797;116,859184265137;1;-1;1
1664,98681640625;1742,94689941406;1560,0517578125;1;1;1
1485,66906738281;1365,83020019531;1592,66394042969;1;1;1
94,8681640625;46,3248100280762;39,2490539550781;1;1;-1
425,367156982422;490,208251953125;427,261627197266;-1;-1;-1
138,136260986328;220,337631225586;144,330947875977;1;1;1
