R;P;T;RMinus;PMinus;TMinus
13375,0056516859;6790,9162935151;3335,8161227372;0;6;-2
14587,2473797865;6763,81072218989;3288,07424741396;-21;-1;-3
14392,274955857;6716,41584810069;3337,20337762967;-3;-1;-5
14076,9359624084;6753,62373126393;3275,3375640352;-21;-3;-3
13910,7493191571;6678,80056555842;3335,062941296;-3;-3;-7
13786,2462082984;6638,49285297662;3261,53955787336;-17;-7;3
13837,3888604607;6574,67117325689;3331,33452762013;-7;-1;-3
13803,390470263;6497,97680732566;3284,39145101628;-17;-9;1
13520,9670512508;6319,65483823964;3330,34479834328;-11;1;-1
13743,6262843172;6346,75991445192;3249,55585949857;-21;-7;1
13318,2014142963;6264,26973697501;3292,01887780848;-9;-1;-1
13950,0601602474;6265,10443969512;3217,78485061753;-13;-11;1
13818,2428967113;6286,74285622718;3230,02341333577;-9;3;-3
13515,1724896498;6235,83174853258;3188,25586426426;-9;-11;3
12410,9234465478;6267,49069320652;3229,65521283217;-3;5;-7
13676,4732086045;6241,79416231428;3227,98273344721;-8;-14;4
13485,1267147341;6361,84091890031;3262,50682692597;-15;9;-5
14000,4342310809;6371,69663299339;3175,3900773698;-15;-13;3
13818,2227977808;6325,03976960113;3230,76058877033;-9;7;-5
14124,6775388856;6343,05168804224;3117,28018578239;-13;-11;1
13827,4180165166;6192,67943186;3164,62397741235;-7;9;-5
13968,5185885222;6189,42500995035;3098,00825865372;-11;-9;3
13503,1820784859;5963,45973957449;3120,23658202351;-7;11;-5
13904,7266118146;5920,88745968584;3023,51878890438;-11;-9;5
13625,5206732266;5680,29874630251;3046,32460276286;-11;9;-3
12748,4551675769;5702,34337129455;2964,25021493608;-17;-1;5
12488,3778443267;5537,2941986858;2968,29110674063;-9;11;-3
12806,2518230936;5501,55759319361;2878,42540359497;-17;-3;5
12770,6969425367;5456,17406413866;2910,50180993564;9;11;-3
12652,7629655479;5420,22565797446;2813,78326864519;-11;-5;1
11899,7691433672;5275,12801582226;2841,13075552125;11;9;-3
13375,4386910701;5229,32059622502;2741,08317616366;-23;-1;3
12403,2190790591;5064,56677389836;2736,63824791839;15;7;1
12434,1864208277;5153,90922690129;2643,44307186293;-15;-1;1
11968,7753618766;4872,51641033007;2658,21060899375;11;5;-1
12600,4803969895;4961,05893172216;2560,31235338812;-19;-3;3
10756,4861364926;4904,47145854726;2620,31286054499;20;6;-2
11689,1486400716;4952,64735390158;2514,01667925891;-22;-2;0
11301,6776775472;4782,73167094062;2495,0706392176;10;8;0
11412,1195760615;4907,70851174523;2394,67624843822;-26;-2;2
11023,0563840305;4679,22998513895;2401,93241649691;16;0;-2
11383,2294936741;4827,20820670969;2253,21508662841;-28;-4;4
11484,3732567403;4694,0586445296;2327,14672908498;23;-1;-1
11954,8723953019;4750,20480118937;2215,63136923491;-31;-3;3
11022,5103184714;4555,77242791475;2198,25043561565;15;-5;-5
11667,7218766853;4607,53979332767;2082,6888466166;-29;-1;5
11148,3564774243;4473,80828182733;2060,8120732948;9;-9;-5
12142,2644819573;4492,96657223488;1950,18997966709;-27;1;5
11176,3399211827;4348,69659280065;1919,89185947613;21;-3;-5
11403,6875264182;4389,31199942062;1793,41353907336;-31;-3;9
11360,227168069;4113,78066614848;1821,41751773322;19;-5;-5
11597,7368457679;4223,16080029805;1707,03272737156;-30;0;8
11390,413112886;3897,96307725617;1730,9767002951;16;-4;-10
9661,5843891664;3811,50930185029;1584,69924652215;-28;0;8
8613,51882153749;3661,10246223211;1664,2349947989;14;-2;-10
9132,24527174234;3560,89782595634;1500,46725353599;-28;-2;6
9242,80071585057;3561,6977006298;1640,5423538402;7;1;-11
9779,22971191406;3727,5778017911;1654,86338559931;-21;-5;9
9234,44735152633;3656,89732982494;1694,3935442324;8;4;-16
9272,18645183857;3677,17406859765;1622,83380178305;-16;-8;12
8363,73570380491;3572,05688371845;1679,93668866158;7;5;-15
8435,21090438843;3497,84180702209;1604,32692100525;-16;-6;12
7745,00527832031;3423,76821199417;1573,53282689571;6;4;-14
8390,58631799576;3446,40859908246;1586,12361055739;-13;-3;9
7678,76522177838;3316,80898934222;1560,22883182891;11;5;-7
7346,50465750176;3378,61460830854;1485,75783261009;-14;-4;8
7612,95811225043;3245,18139843411;1525,178212844;5;1;-7
7925,84014519586;3216,09056418207;1459,6007209142;-19;3;7
7639,05438774957;3005,4677886539;1433,07236065335;17;-3;-5
6835,93161530928;3012,50861939517;1337,63674822721;-18;2;6
6770,04283939708;2839,28524277427;1403,02210625735;16;-2;-4
7022,81957786028;2753,92554239894;1313,04351522756;-17;-1;7
6402,12862910781;2674,59582235647;1344,03190703863;11;-5;-5
6003,55065549806;2611,80914510683;1279,70939583002;-19;-1;7
6171,87777106706;2569,14716055227;1300,12857275231;5;1;-7
6960,87263879111;2457,72236207474;1200,7236883474;-21;1;7
6010,67211479364;2455,52491090464;1257,19679210352;9;-1;-5
5596,68993945454;2389,10808119663;1165,26516557294;-13;1;5
5430,5500857331;2324,22449014353;1152,22787731747;5;1;-5
5755,82590985853;2165,303823959;1081,99023166923;-15;1;5
4986,69584087993;2027,44333666424;1121,60343429654;11;3;-7
4487,04318024391;1999,4753182766;988,406326149785;-7;3;5
4933,95756282363;1701,25929774794;1009,7737471891;1;-1;-5
4794,71661128554;1754,21930676837;916,293161187061;-13;1;-1
4571,82364619055;1626,66570388439;910,091536222502;13;-1;-1
4346,47219158354;1605,90106128511;832,992525617282;-12;4;0
4288,04036407471;1646,99216842651;866,702646923065;2;-4;-2
4131,5071174915;1478,86999110686;837,882350236942;-7;5;1
3615,78101750424;1514,51649364672;817,529056699652;2;-6;0
3892,16821206583;1393,69446821471;748,403780950082;-9;7;3
4528,45294539134;1347,35999184185;741,130851745605;4;-2;-2
3440,35776191288;1238,66335394647;687,731736818949;-12;8;2
3500,05221470424;1138,64519239153;685,77459122794;11;-3;-1
3357,81409999302;995,218586022513;583,486287362235;-9;9;3
3139,72263902937;950,018230540412;578,4191074746;1;-3;-1
3279,94782460531;945,294089825948;590,942863845825;-8;2;2
2994,82262332623;959,428655184232;659,227616676917;-2;-4;-4
4097,32630681992;962,340926627318;613,238025049369;2;6;0
3233,52593267532;836,685900188628;677,435969307309;-1;-5;-1
3311,55432528541;885,295889445714;666,301447016852;-9;5;-3
2653,20410301572;693,990884780884;617,191745496932;-5;-3;1
2581,04145201515;705,24619439069;617,408676035264;-5;1;1
3200,73000526428;736,337018728256;690,708163261414;-2;0;0
3490,58283042908;575,790191173553;596,271084427834;-10;6;0
3595,3869354248;818,926759084066;600,344075965881;-1;-7;1
3430,47740760216;624,957745772142;473,582510104546;-9;3;-1
3732,64307530721;700,696762084961;570,398208300273;-4;-4;0
3159,58295718106;391,392401608554;397,033712126992;-3;-3;1
2103,74386319247;561,519821166992;352,556777867404;3;-3;1
1643,68239339193;268,1242363188;426,108196046617;-1;-1;-1
2729,84046936035;605,490674972534;375,313727140427;-2;-2;-2
4244,71011352539;321,377135276794;293,924599587917;-8;2;0
2674,63614327567;645,822833248547;409,615021841867;-1;-3;1
3118,93428548177;229,344550768534;456,382616360982;-2;-4;0
2487,9807434082;533,599737803141;402,29211362203;2;-2;-2
1723,19641367594;315,951657613118;516,463086446126;-2;-2;-2
2223,74761454264;532,689367930094;481,102716763814;-2;-2;0
2834,34678649902;336,149429003398;393,815944035848;-4;-4;-2
3166,12180175781;723,354772949219;578,079968261719;-5;-3;1
4363,24887695312;380,366264343262;637,713632202148;-3;-3;-3
3952,21474609375;862,911389160156;493,85361328125;-3;-3;-1
4316,566015625;476,97727355957;555,934014892578;-5;-1;-3
4368,8775390625;849,709461975098;602,767034912109;-5;-3;-1
3379,31519775391;515,265057373047;612,346003723145;-5;-1;-3
2503,77351074219;821,100537109375;667,378729248047;-3;-3;-1
3520,97197875977;540,781420898438;767,310900878906;-1;-1;-3
2972,49350891113;720,881296348572;605,676773071289;-1;-1;1
2861,81469726563;380,036181640625;663,486853027344;-3;-1;-3
1943,86274414062;752,423733520508;790,879916381836;1;-1;1
1418,17519836426;533,628695678711;824,336022949219;-1;-1;-3
1818,60554199219;850,874475097656;589,515975189209;-3;-1;-1
2995,87121582031;636,869909667969;779,215075683594;-5;-1;-3
3698,11720581055;863,22170715332;623,691732788086;-5;-1;-1
3593,84146728516;613,129716491699;736,093243408203;-5;-3;-3
2217,37237091064;755,113626098633;705,769506835937;-3;-1;-1
1632,31131591797;576,523387145996;704,69133605957;-5;-3;-3
2794,95492553711;788,92160949707;539,021228027344;-1;-1;-1
