X;Y;X;Y
;;-1,79E+08;4,23E+07
;;-1,78E+08;4,24E+07
;;-1,77E+08;4,26E+07
;;-1,76E+08;4,28E+07
;;-1,75E+08;4,29E+07
;;-1,74E+08;4,31E+07
;;-1,73E+08;4,32E+07
;;-1,72E+08;4,33E+07
;;-1,70E+08;4,35E+07
;;-1,69E+08;4,36E+07
;;-1,68E+08;4,37E+07
;;-1,67E+08;4,39E+07
;;-1,66E+08;4,40E+07
;;-1,65E+08;4,41E+07
;;-1,64E+08;4,43E+07
;;-1,63E+08;4,44E+07
;;-1,62E+08;4,45E+07
;;-1,61E+08;4,46E+07
;;-1,60E+08;4,47E+07
;;-1,59E+08;4,49E+07
;;-1,58E+08;4,50E+07
;;-1,57E+08;4,51E+07
;;-1,56E+08;4,52E+07
;;-1,55E+08;4,53E+07
;;-1,54E+08;4,54E+07
;;-1,53E+08;4,55E+07
;;-1,52E+08;4,56E+07
;;-1,51E+08;4,57E+07
;;-1,50E+08;4,58E+07
;;-1,49E+08;4,59E+07
;;-1,48E+08;4,60E+07
;;-1,47E+08;4,61E+07
;;-1,46E+08;4,62E+07
;;-1,45E+08;4,62E+07
;;-1,44E+08;4,63E+07
;;-1,44E+08;4,64E+07
;;-1,43E+08;4,65E+07
;;-1,42E+08;4,66E+07
;;-1,41E+08;4,67E+07
;;-1,40E+08;4,67E+07
;;-1,39E+08;4,68E+07
;;-1,38E+08;4,69E+07
;;-1,37E+08;4,70E+07
;;-1,36E+08;4,70E+07
;;-1,35E+08;4,71E+07
;;-1,34E+08;4,72E+07
;;-1,34E+08;4,73E+07
;;-1,33E+08;4,73E+07
;;-1,32E+08;4,74E+07
;;-1,31E+08;4,75E+07
;;-1,30E+08;4,75E+07
;;-1,29E+08;4,76E+07
;;-1,28E+08;4,76E+07
;;-1,28E+08;4,77E+07
;;-1,27E+08;4,78E+07
;;-1,26E+08;4,78E+07
;;-1,25E+08;4,79E+07
;;-1,24E+08;4,79E+07
;;-1,23E+08;4,80E+07
;;-1,22E+08;4,80E+07
;;-1,22E+08;4,81E+07
;;-1,21E+08;4,81E+07
;;-1,20E+08;4,82E+07
;;-1,19E+08;4,82E+07
;;-1,18E+08;4,83E+07
;;-1,18E+08;4,83E+07
;;-1,17E+08;4,84E+07
;;-1,16E+08;4,84E+07
;;-1,15E+08;4,85E+07
;;-1,14E+08;4,85E+07
;;-1,14E+08;4,86E+07
;;-1,13E+08;4,86E+07
;;-1,12E+08;4,86E+07
;;-1,11E+08;4,87E+07
;;-1,10E+08;4,87E+07
;;-1,10E+08;4,87E+07
;;-1,09E+08;4,88E+07
;;-1,08E+08;4,88E+07
;;-1,07E+08;4,89E+07
;;-1,07E+08;4,89E+07
;;-1,06E+08;4,89E+07
;;-1,05E+08;4,89E+07
;;-1,04E+08;4,90E+07
;;-1,04E+08;4,90E+07
;;-1,03E+08;4,90E+07
;;-1,02E+08;4,91E+07
;;-1,01E+08;4,91E+07
;;-1,01E+08;4,91E+07
;;-9,98E+07;4,91E+07
;;-9,91E+07;4,92E+07
;;-9,84E+07;4,92E+07
;;-9,76E+07;4,92E+07
;;-9,69E+07;4,92E+07
;;-9,62E+07;4,93E+07
;;-9,55E+07;4,93E+07
;;-9,47E+07;4,93E+07
;;-9,40E+07;4,93E+07
;;-9,33E+07;4,93E+07
;;-9,26E+07;4,94E+07
;;-9,19E+07;4,94E+07
;;-9,12E+07;4,94E+07
;;-9,05E+07;4,94E+07
;;-8,98E+07;4,94E+07
;;-8,91E+07;4,94E+07
;;-8,84E+07;4,95E+07
;;-8,77E+07;4,95E+07
;;-8,70E+07;4,95E+07
;;-8,63E+07;4,95E+07
;;-8,56E+07;4,95E+07
;;-8,49E+07;4,95E+07
;;-8,43E+07;4,95E+07
;;-8,36E+07;4,95E+07
;;-8,29E+07;4,96E+07
;;-8,22E+07;4,96E+07
;;-8,16E+07;4,96E+07
;;-8,09E+07;4,96E+07
;;-8,02E+07;4,96E+07
;;-7,95E+07;4,96E+07
;;-7,89E+07;4,96E+07
;;-7,82E+07;4,96E+07
;;-7,76E+07;4,96E+07
;;-7,69E+07;4,96E+07
;;-7,62E+07;4,96E+07
;;-7,56E+07;4,96E+07
;;-7,49E+07;4,96E+07
;;-7,43E+07;4,96E+07
;;-7,36E+07;4,96E+07
;;-7,30E+07;4,96E+07
;;-7,23E+07;4,96E+07
;;-7,17E+07;4,96E+07
;;-7,11E+07;4,96E+07
;;-7,04E+07;4,96E+07
;;-6,98E+07;4,96E+07
;;-6,92E+07;4,96E+07
;;-6,85E+07;4,96E+07
;;-6,79E+07;4,96E+07
;;-6,73E+07;4,96E+07
;;-6,66E+07;4,96E+07
;;-6,60E+07;4,96E+07
;;-6,54E+07;4,96E+07
;;-6,48E+07;4,96E+07
;;-6,42E+07;4,96E+07
;;-6,35E+07;4,96E+07
;;-6,29E+07;4,96E+07
;;-6,23E+07;4,96E+07
;;-6,11E+07;4,96E+07
;;-5,99E+07;4,96E+07
;;-5,87E+07;4,95E+07
;;-5,75E+07;4,95E+07
;;-5,63E+07;4,95E+07
;;-5,51E+07;4,95E+07
;;-5,39E+07;4,95E+07
;;-5,28E+07;4,94E+07
;;-5,16E+07;4,94E+07
;;-5,04E+07;4,94E+07
;;-4,93E+07;4,94E+07
;;-4,81E+07;4,93E+07
;;-4,70E+07;4,93E+07
;;-4,59E+07;4,93E+07
;;-4,47E+07;4,92E+07
;;-4,36E+07;4,92E+07
;;-4,25E+07;4,92E+07
;;-4,14E+07;4,91E+07
;;-4,03E+07;4,91E+07
;;-3,92E+07;4,90E+07
;;-3,81E+07;4,90E+07
;;-3,70E+07;4,90E+07
;;-3,59E+07;4,89E+07
;;-3,48E+07;4,89E+07
;;-3,37E+07;4,88E+07
;;-3,27E+07;4,88E+07
;;-3,16E+07;4,87E+07
;;-3,06E+07;4,87E+07
;;-2,95E+07;4,86E+07
;;-2,85E+07;4,86E+07
;;-2,74E+07;4,85E+07
;;-2,64E+07;4,85E+07
;;-2,54E+07;4,84E+07
;;-2,43E+07;4,84E+07
;;-2,33E+07;4,83E+07
;;-2,23E+07;4,83E+07
;;-2,13E+07;4,82E+07
;;-2,03E+07;4,81E+07
;;-1,93E+07;4,81E+07
;;-1,83E+07;4,80E+07
;;-1,73E+07;4,80E+07
;;-1,63E+07;4,79E+07
;;-1,54E+07;4,79E+07
;;-1,44E+07;4,78E+07
;;-1,34E+07;4,77E+07
;;-1,24E+07;4,77E+07
;;-1,15E+07;4,76E+07
;;-1,05E+07;4,75E+07
;;-9542329;4,75E+07
;;-8588812;4,74E+07
;;-7639319;4,73E+07
;;-6693887;4,73E+07
;;-5752621;4,72E+07
;;-4815358;4,71E+07
;;-3881913;4,71E+07
;;-2952677;4,70E+07
;;-2027450;4,69E+07
;;-1106180;4,68E+07
;;-188467;4,68E+07
;;725194;4,67E+07
;;1634770;4,66E+07
;;2540552;4,66E+07
;;3442587;4,65E+07
;;4340838;4,64E+07
;;5235237;4,63E+07
;;6125835;4,63E+07
;;7012805;4,62E+07
;;7895842;4,61E+07
;;8775269;4,60E+07
;;9650861;4,60E+07
;;1,05E+07;4,59E+07
;;1,14E+07;4,58E+07
;;1,23E+07;4,57E+07
;;1,31E+07;4,56E+07
;;1,40E+07;4,56E+07
;;1,48E+07;4,55E+07
;;1,57E+07;4,54E+07
;;1,65E+07;4,53E+07
;;1,74E+07;4,52E+07
;;1,82E+07;4,52E+07
;;1,91E+07;4,51E+07
;;1,99E+07;4,50E+07
;;2,07E+07;4,49E+07
;;2,15E+07;4,48E+07
;;2,24E+07;4,47E+07
;;2,32E+07;4,47E+07
;;2,40E+07;4,46E+07
;;2,48E+07;4,45E+07
;;2,57E+07;4,44E+07
;;2,65E+07;4,43E+07
;;2,73E+07;4,42E+07
;;2,81E+07;4,41E+07
;;2,89E+07;4,41E+07
;;2,97E+07;4,40E+07
;;3,05E+07;4,39E+07
;;3,13E+07;4,38E+07
;;3,21E+07;4,37E+07
;;3,29E+07;4,36E+07
;;3,37E+07;4,35E+07
;;3,44E+07;4,34E+07
;;3,52E+07;4,34E+07
;;3,60E+07;4,33E+07
;;3,68E+07;4,32E+07
